question,option1,option2,option3,option4,correct_option,genre,difficulty,hint,option_explanations
日本が初めてオリンピックに参加したのはどの大会でしょうか？,1912年ストックホルム大会,1920年アントワープ大会,1936年ベルリン大会,1908年ロンドン大会,1,夏季オリンピック,easy,,1912年ストックホルム大会に金栗四三（マラソン）と三島弥彦（短距離）の2名が日本人として初めて五輪に参加しました。日本スポーツ史の記念すべき第一歩です。|1920年アントワープ大会は日本が2回目に参加した大会で、初参加ではありません。|1936年ベルリン大会は田島直人が三段跳びで金メダルを獲得した大会ですが、初参加ではありません。|1908年ロンドン大会の時点では、日本はまだオリンピックに参加していませんでした。
100m走で「人類最速の男」と呼ばれるウサイン・ボルトの国籍はどこでしょうか？,ジャマイカ,アメリカ,イギリス,カナダ,1,夏季オリンピック,easy,,ウサイン・ボルトはジャマイカ出身で、100m・200m・4×100mリレーで世界記録を保持する史上最速のスプリンターです。オリンピック8個の金メダルを獲得しました。|アメリカは陸上短距離の強豪国ですが、ボルトはジャマイカ出身です。カール・ルイスなどアメリカの名選手も多数います。|イギリスも陸上競技が盛んですが、ボルトの出身国ではありません。|カナダはベン・ジョンソンなど短距離選手を輩出していますが、ボルトはジャマイカ出身です。
オリンピックで使われる五輪マークの輪は何色でしょうか？,青・黄・黒・緑・赤,青・紫・黒・緑・赤,青・黄・白・緑・赤,青・橙・黒・緑・赤,1,夏季オリンピック,easy,,五輪マークは青・黄・黒・緑・赤の5色で構成され、それぞれ五大陸（ヨーロッパ、アジア、アフリカ、オセアニア、アメリカ）を象徴しています。|紫色は五輪マークには含まれていません。正しくは青・黄・黒・緑・赤の5色です。|白色は五輪マークには含まれていません。背景が白いだけで、輪の色ではありません。|橙（オレンジ）色は五輪マークには含まれていません。正しくは青・黄・黒・緑・赤です。
日本女子レスリングで五輪4連覇を達成した選手は誰でしょうか？,伊調馨,吉田沙保里,登坂絵莉,川井梨紗子,1,夏季オリンピック,easy,,伊調馨は2004年アテネから2016年リオまで4大会連続で金メダルを獲得し、女子個人種目では世界初の4連覇を達成しました。国民栄誉賞も受賞しています。|吉田沙保里は3連覇（2004年、2008年、2012年）を達成しましたが、2016年リオで銀メダルとなり4連覇は逃しました。それでも偉大な選手です。|登坂絵莉は2016年リオで金メダルを獲得しましたが、4連覇は達成していません。|川井梨紗子は東京2020で金メダルを獲得しましたが、4連覇は達成していません。
東京2020大会でスケートボード男子ストリート金メダルを獲得した選手は誰でしょうか？,堀米雄斗,白井空良,ナイジャ・ヒューストン,八木勇征,1,夏季オリンピック,normal,,堀米雄斗は東京2020で初めて正式種目となったスケートボード男子ストリートで金メダルを獲得し、記念すべき初代王者となりました。アメリカを拠点に活躍しています。|白井空良も日本のスケートボード選手ですが、東京2020では銅メダルを獲得しました。金メダルは堀米雄斗です。|ナイジャ・ヒューストンはアメリカの有名なスケートボーダーですが、東京2020では7位でした。|八木勇征は別の競技の選手です。スケートボードストリートの金メダリストは堀米雄斗です。
オリンピックの開催都市が「立候補→選出」される仕組みを管理する団体はどれでしょうか？,IOC（国際オリンピック委員会）,IFA,UNESCO,FIFA,1,夏季オリンピック,normal,,IOC（国際オリンピック委員会）はオリンピックの開催都市選定、ルール策定、運営全般を統括する国際組織です。本部はスイスのローザンヌにあります。|IFAは存在しない略称です。サッカーの国際組織はFIFAです。|UNESCOは国連教育科学文化機関で、世界遺産などを扱いますが、オリンピック開催都市の選定は行いません。|FIFAは国際サッカー連盟で、ワールドカップを管理しますが、オリンピックはIOCが管理します。
陸上競技の「十種競技」は主にどのような能力を総合的に競う種目でしょうか？,スピード・力・技術の総合力,持久力のみ,球技力,跳躍力のみ,1,夏季オリンピック,normal,,十種競技は100m、走幅跳、砲丸投、走高跳、400m、110mハードル、円盤投、棒高跳、やり投、1500mの10種目で、スピード・パワー・技術・持久力すべてが求められる「キング・オブ・アスリート」です。|十種競技は1500mも含まれますが、短距離や跳躍など持久力以外の能力も幅広く必要とされます。|球技力は十種競技では求められません。陸上競技の走・跳・投の総合力が試されます。|跳躍種目も含まれますが、それだけではなく走・投擲なども含む総合競技です。
水泳の自由形で長距離種目に分類されるのはどれでしょうか？,1500m,200m,100m,50m,1,夏季オリンピック,normal,,1500m自由形は水泳の中で最も長い距離で、持久力と泳ぎの効率性が求められる種目です。男子のみ五輪種目で、女子は800mが最長です。|200mは中距離種目に分類され、スピードと持久力の両方が必要ですが、長距離ではありません。|100mは短距離種目で、爆発的なスピードが求められます。長距離ではありません。|50mは最も短い距離の種目で、純粋なスピード勝負です。長距離の対極にあります。
「ドーピング検査」が特に厳格に行われる理由として正しいものはどれでしょうか？,選手の公平性と健康を守るため,試合時間を短縮するため,観客の増加を狙うため,放送スケジュールに合わせるため,1,夏季オリンピック,hard,,ドーピングは禁止薬物を使用して不正に競技力を高める行為で、選手間の公平性を損ない、また選手の健康を著しく害するため、厳格な検査と罰則が設けられています。スポーツの精神に反する行為です。|ドーピング検査は試合時間の短縮とは無関係です。むしろ検査に時間がかかります。|観客増加はドーピング検査の目的ではありません。公平性と健康保護が主目的です。|放送スケジュールはドーピング検査とは関係ありません。選手の健康と公平性を守ることが目的です。
近代オリンピックを創設した人物は誰でしょうか？,クーベルタン男爵,ネルソン・マンデラ,リンカーン大統領,ガンジー,1,夏季オリンピック,hard,,ピエール・ド・クーベルタン男爵（フランス）が古代ギリシャのオリンピックを復興させ、1896年に第1回近代オリンピックをアテネで開催しました。「参加することに意義がある」の言葉でも有名です。|ネルソン・マンデラは南アフリカの反アパルトヘイト運動の指導者で、ノーベル平和賞受賞者ですが、オリンピックの創設者ではありません。|エイブラハム・リンカーンはアメリカ第16代大統領で奴隷解放を行いましたが、オリンピックとは無関係です。|マハトマ・ガンジーはインド独立運動の指導者ですが、オリンピック創設とは関係ありません。
アフリカ大陸で面積が最も大きい国はどれでしょうか？,アルジェリア,コンゴ民主共和国,スーダン,リビア,1,世界地図,easy,,アルジェリアは約238万km²の国土を持ち、アフリカ大陸で最大の面積を誇ります。サハラ砂漠の大部分を含む北アフリカの大国です。|コンゴ民主共和国はアフリカ第2位の面積を持つ国で、約234万km²です。熱帯雨林が広がる中央アフリカの国です。|スーダンは分離独立により面積が縮小し、現在は約188万km²でアフリカ第3位です。アルジェリアより小さくなりました。|リビアは約176万km²でアフリカ第4位の面積です。北アフリカに位置し、国土の大部分が砂漠地帯です。
ヨーロッパで唯一、国土全体が内陸国ではない国はどれでしょうか？,ノルウェー,スイス,オーストリア,ハンガリー,1,世界地図,easy,,ノルウェーは北海と大西洋に面する海洋国家で、フィヨルドで有名な美しい海岸線を持ちます。内陸国ではありません。|スイスはヨーロッパ中部の内陸国で、海に面していません。周囲をドイツ、フランス、イタリア、オーストリアなどに囲まれています。|オーストリアも海に面していない内陸国です。ヨーロッパ中央部に位置し、8か国と国境を接しています。|ハンガリーも内陸国で、海への直接的なアクセスはありません。東欧に位置し、7か国と国境を接しています。
世界で最も人口が多い国はどれでしょうか？,中国,インド,アメリカ,インドネシア,1,世界地図,easy,,中国は約14億人の人口を持ち、長年世界第1位の人口大国でしたが、2023年頃にインドに抜かれたとされています。歴史的に正解でした。|インドは約14億人以上の人口を持ち、2023年頃に中国を抜いて世界第1位になったとされています。現在では最多の可能性が高いです。|アメリカは約3.3億人の人口で世界第3位です。中国やインドと比べると人口は大きく少ないです。|インドネシアは約2.7億人で世界第4位の人口を持ちます。東南アジア最大の人口国ですが、中国やインドには及びません。
南アメリカ大陸で公用語が「英語」の国はどれでしょうか？,ガイアナ,ブラジル,アルゼンチン,チリ,1,世界地図,easy,,ガイアナは南米で唯一英語を公用語とする国です。イギリスの植民地だった歴史があり、現在も英連邦加盟国です。|ブラジルはポルトガル語を公用語とする国で、南米最大の面積と人口を持ちます。ポルトガルの植民地でした。|アルゼンチンはスペイン語を公用語とする国です。南米の多くの国と同様、スペインの植民地支配を受けた歴史があります。|チリもスペイン語を公用語とする国です。南米大陸の西海岸に細長く伸びる国で、スペインの影響を受けました。
国旗に赤い丸（太陽）を中央に配した国はどれでしょうか？,日本,バングラデシュ,ラオス,グリーンランド,1,世界地図,normal,,日本の国旗「日章旗」は白地の中央に赤い円を配し、太陽を象徴しています。日の丸として親しまれています。|バングラデシュの国旗も赤い丸がありますが、中央よりやや左寄りに配置されており、緑の背景に赤い太陽を表現しています。|ラオスの国旗は青・赤・青の横縞に白い円が中央に配置されており、赤い丸ではありません。月を象徴しています。|グリーンランドの国旗は白と赤の二色で、円が半分ずつ配色されたデザインです。中央の赤い丸とは異なります。
ヨーロッパとアジアの境界を形成する山脈はどれでしょうか？,ウラル山脈,アルプス山脈,ピレネー山脈,カフカス山脈,1,世界地図,normal,,ウラル山脈はロシア西部を南北に走り、ヨーロッパとアジアの地理的境界とされています。約2500kmに及ぶ長大な山脈です。|アルプス山脈はヨーロッパ中南部を東西に走る山脈で、ヨーロッパ域内の地形です。ヨーロッパとアジアの境界ではありません。|ピレネー山脈はフランスとスペインの国境を形成する山脈で、イベリア半島とヨーロッパ本土を分けています。アジアとは無関係です。|カフカス山脈も一部でヨーロッパとアジアの境界とされることがありますが、一般的にはウラル山脈が主要な境界として知られています。
面積が世界で最も大きい湖として知られるのはどれでしょうか？,カスピ海,スペリオル湖,ビクトリア湖,タンガニーカ湖,1,世界地図,normal,,カスピ海は約37万km²の面積を持ち、世界最大の湖です。塩水を含む内陸の閉鎖水域で、「海」と名付けられていますが湖に分類されます。|スペリオル湖は北アメリカの五大湖の一つで、淡水湖としては世界最大（約8.2万km²）ですが、カスピ海には及びません。|ビクトリア湖はアフリカ最大の湖で約6.9万km²の面積を持ちますが、世界全体では第3位です。ナイル川の水源の一つです。|タンガニーカ湖はアフリカの大地溝帯にある細長い湖で約3.3万km²です。世界で2番目に深い湖として知られています。
世界で最も標高が高い山「エベレスト」が位置する国はどれでしょうか？,ネパール・中国,パキスタン,インド,ブータン,1,世界地図,normal,,エベレスト（標高8849m）はネパールと中国（チベット自治区）の国境に位置する世界最高峰です。両国から登山が可能です。|パキスタンにはK2（世界第2位の高峰）など高い山がありますが、エベレストはネパールと中国の国境にあり、パキスタンではありません。|インドにもヒマラヤ山脈の一部がありますが、エベレストはインド領内ではなく、ネパールと中国の国境上にあります。|ブータンはヒマラヤ山脈の東部に位置する国ですが、エベレストはブータンの西方、ネパールと中国の国境にあります。
北極圏に属する国のうち、国土の大部分が氷で覆われている地域を持つ国はどれでしょうか？,グリーンランド（デンマーク領）,アイスランド,カナダ,ロシア,1,世界地図,hard,,グリーンランドは世界最大の島で、国土の約80%が氷床に覆われています。デンマークの自治領として北極圏に位置します。|アイスランドは北大西洋の島国で、名前に「氷」が含まれますが、実際には国土の大部分が氷で覆われているわけではありません。氷河は約11%程度です。|カナダは北極圏に領土を持ちますが、国土全体で見ると氷に覆われている割合は小さく、大部分は陸地です。|ロシアも北極圏に広大な領土を持ちますが、国土全体としては氷で覆われている部分は限定的です。ツンドラや森林地帯が広がります。
世界でもっとも多くの島を持つ国はどれでしょうか？,スウェーデン,インドネシア,フィリピン,カナダ,1,世界地図,hard,,スウェーデンは約26万7千の島を持つとされ、統計上世界最多の島嶼国です。バルト海沿岸に無数の小島があります。|インドネシアは約1万7千の島からなる世界最大の島嶼国ですが、島の総数ではスウェーデンに及びません。ただし大きな島が多いです。|フィリピンは約7600の島からなる島嶼国です。東南アジアに位置し、多くの島がありますが、スウェーデンほどではありません。|カナダは約3万6千の島を持ちますが、スウェーデンの島数には及びません。世界で2番目に広い国土を持ちます。
「ONE PIECE」で麦わらの一味の船医はどのキャラクターでしょうか？,トニートニー・チョッパー,ナミ,ニコ・ロビン,ウソップ,1,漫画,easy,,チョッパーはヒトヒトの実を食べたトナカイで、船医として医療知識と治療技術を持ちます。可愛らしい外見ですが頼れる仲間です。|ナミは航海士として麦わらの一味に所属しています。天候を読む能力に優れ、航海には欠かせない存在ですが船医ではありません。|ニコ・ロビンは考古学者として一味に加わりました。古代文字を読める唯一の人物ですが、医療の専門家ではありません。|ウソップは狙撃手として活躍するメンバーです。発明の才能もありますが、船医の役割はチョッパーが担当しています。
「鬼滅の刃」で主人公・竈門炭治郎が最初に使った呼吸法はどれでしょうか？,水の呼吸,炎の呼吸,雷の呼吸,岩の呼吸,1,漫画,easy,,炭治郎は育手である鱗滝左近次から水の呼吸を学び、鬼殺隊の試験に合格しました。後にヒノカミ神楽も使用します。|炎の呼吸は煉獄杏寿郎が使う呼吸法です。炎柱として強力な技を持ちますが、炭治郎が最初に習得したのは水の呼吸です。|雷の呼吸は我妻善逸が使う呼吸法で、高速の剣技が特徴です。炭治郎は雷の呼吸を使いません。|岩の呼吸は悲鳴嶼行冥が使う最強クラスの呼吸法ですが、炭治郎が学んだのは水の呼吸です。
「進撃の巨人」で主人公エレン・イェーガーが持つ巨人の能力は何でしょうか？,進撃の巨人,超大型巨人,鎧の巨人,女型の巨人,1,漫画,easy,,エレンは父グリシャから「進撃の巨人」と「始祖の巨人」の能力を継承しました。未来の記憶を見る能力も持ちます。|超大型巨人はベルトルトが持っていた能力で、後にアルミンが継承します。60m級の巨体と高熱の蒸気が特徴です。|鎧の巨人はライナー・ブラウンが持つ能力です。全身が硬質化した装甲で覆われており、高い防御力を誇ります。|女型の巨人はアニ・レオンハートが持つ能力です。格闘技術に優れ、他の巨人を呼び寄せる叫びも使えます。
「ONE PIECE」でルフィの兄・エースが所属していた海賊団はどれでしょうか？,白ひげ海賊団,赤髪海賊団,ビッグ・マム海賊団,百獣海賊団,1,漫画,normal,,エースは白ひげ海賊団の2番隊隊長として活躍し、「火拳のエース」として恐れられました。白ひげを父と慕っていました。|赤髪海賊団はシャンクスが率いる海賊団です。ルフィが憧れる海賊団ですが、エースが所属していたのは白ひげ海賊団です。|ビッグ・マム海賊団は四皇シャーロット・リンリンが率いる海賊団です。エースとは関係がありません。|百獣海賊団は四皇カイドウが率いる海賊団で、ワノ国編で登場します。エースの所属先ではありません。
「BLEACH」で主人公・黒崎一護が持つ斬魄刀の名前はどれでしょうか？,斬月,千本桜,流刃若火,神鑓,1,漫画,normal,,一護の斬魄刀は「斬月」という名前で、巨大な斬撃を放つ能力を持ちます。物語を通じて何度も進化します。|千本桜は朽木白哉の斬魄刀です。桜の花びらのような刃で敵を切り刻む美しく強力な能力を持ちます。|流刃若火は山本元柳斎重國の斬魄刀で、最古最強の炎系斬魄刀です。一護の武器ではありません。|神鑓は市丸ギンの斬魄刀で、超高速で伸縮する能力を持ちます。一護の斬魄刀は斬月です。
「銀魂」で主人公・坂田銀時が経営する店は何でしょうか？,万事屋,居酒屋,ラーメン屋,コンビニ,1,漫画,normal,,銀時は「万事屋銀ちゃん」として何でも屋を営んでいます。新八と神楽と共に様々な依頼をこなします。|居酒屋は登場しますが、銀時が経営しているのは万事屋です。たまに飲みに行く場面はあります。|ラーメン屋もよく登場しますが、銀時の職業ではありません。銀時はよくラーメンを食べに行きます。|コンビニも作中に登場しますが、銀時が経営しているのは何でも屋の万事屋です。
「キングダム」で主人公・信が所属する国はどれでしょうか？,秦,楚,趙,魏,1,漫画,normal,,信は秦国の歩兵から始まり、将軍を目指して戦場で活躍します。後に飛信隊を率いる将となります。|楚は南方の大国で、秦の統一戦争における主要な敵国の一つです。信の所属国ではありません。|趙は北方の強国で、李牧などの名将を擁します。秦と何度も激しい戦いを繰り広げる敵国です。|魏は中央に位置する国で、かつては強国でした。信が所属するのは秦国です。
「宇宙兄弟」で兄・南波六太が宇宙飛行士試験で受けた最終試験の舞台はどこでしょうか？,閉鎖環境施設,国際宇宙ステーション,月面基地,火星基地,1,漫画,normal,,六太は閉鎖環境施設で2週間の共同生活を行う試験を受けました。チームワークと精神力が試される過酷な試験です。|国際宇宙ステーションは宇宙飛行士になった後に行く場所で、試験の舞台ではありません。六太も後に滞在します。|月面基地は弟の日々人が活動する場所ですが、試験の舞台は地上の閉鎖環境施設です。|火星基地は六太の最終目標ですが、試験段階ではまだ存在していません。試験は閉鎖環境施設で行われました。
「DEATH NOTE」でLの本名として正しいものはどれでしょうか？,エル・ローライト,エル・ワタリ,エル・ニア,エル・メロ,1,漫画,normal,,Lの本名は「エル・ローライト（L Lawliet）」で、物語終盤で明かされます。世界一の探偵として活躍しました。|ワタリはLの協力者で世話役の老人です。Lの本名ではなく、Lをサポートする重要人物です。|ニアはLの後継者候補の一人で、本名はネイト・リバーです。Lの本名ではありません。|メロもLの後継者候補で、本名はミハエル・ケールです。Lとは別人です。
「こちら葛飾区亀有公園前派出所」で主人公・両津勘吉の階級はどれでしょうか？,巡査長,巡査部長,警部補,警部,1,漫画,normal,,両津勘吉は巡査長として長年派出所に勤務しています。昇進試験を受けても問題を起こして昇進できないことが多いです。|巡査部長は巡査長の上の階級です。両津は何度も昇進のチャンスがありましたが、トラブルで昇進できていません。|警部補はさらに上の階級で、両津の現在の階級よりかなり上です。|警部は幹部クラスの階級で、両津の階級とは大きく異なります。両津は巡査長です。
「進撃の巨人」でミカサ・アッカーマンが首に巻いているマフラーを渡したのは誰でしょうか？,エレン・イェーガー,アルミン・アルレルト,リヴァイ兵長,エレンの母親,1,漫画,normal,,エレンが幼い頃、人攫いに襲われたミカサを助けた際、自分のマフラーを巻いてあげました。ミカサにとって大切な思い出の品です。|アルミンは幼馴染の一人ですが、マフラーを渡したのはエレンです。アルミンは3人の中で最も知的なキャラクターです。|リヴァイ兵長は同じアッカーマン一族ですが、マフラーとは関係ありません。人類最強の兵士として活躍します。|エレンの母カルラは優しい人物でしたが、マフラーを渡したのはエレン自身です。
「ONE PIECE」でルフィの祖父であり海軍中将なのは誰でしょうか？,モンキー・D・ガープ,センゴク,つる,おつる,1,漫画,hard,,ガープは「海軍の英雄」と呼ばれる伝説的な中将で、ルフィとドラゴンの父・祖父です。ロジャーと何度も戦いました。|センゴクは元海軍元帥で、ガープの同期です。「智将」として知られますが、ルフィの祖父ではありません。|つる中将は海軍の参謀で、ガープやセンゴクと同世代の女性です。ルフィとは血縁関係がありません。|「おつる」という人物は海軍にいません。正しくはモンキー・D・ガープです。
「BLEACH」で護廷十三隊の総隊長を務める人物は誰でしょうか？,山本元柳斎重國,京楽春水,更木剣八,朽木白哉,1,漫画,hard,,山本元柳斎重國は千年以上護廷十三隊を率いる最強の死神で、炎系最強の斬魄刀「流刃若火」を持ちます。|京楽春水は八番隊隊長で、後に山本の後を継いで総隊長になりますが、当初の総隊長は山本元柳斎です。|更木剣八は十一番隊隊長で、戦闘狂として知られる強力な死神ですが、総隊長ではありません。|朽木白哉は六番隊隊長で、貴族出身の冷静な死神です。総隊長は山本元柳斎です。
「鬼滅の刃」で炎柱・煉獄杏寿郎が使う技「炎の呼吸 奥義」はどれでしょうか？,玖ノ型 煉獄,壱ノ型 不知火,肆ノ型 盛炎のうねり,伍ノ型 炎虎,1,漫画,hard,,「玖ノ型 煉獄」は煉獄杏寿郎の最強奥義で、映画「無限列車編」の猗窩座戦で使用されました。圧倒的な火力を誇ります。|「壱ノ型 不知火」は炎の呼吸の基本技の一つですが、最強奥義ではありません。|「肆ノ型 盛炎のうねり」も炎の呼吸の技の一つですが、玖ノ型が奥義です。|「伍ノ型 炎虎」は炎の呼吸の中級技ですが、最強の奥義は玖ノ型 煉獄です。
「進撃の巨人」でライナー・ブラウンが持つ巨人の能力はどれでしょうか？,鎧の巨人,超大型巨人,獣の巨人,顎の巨人,1,漫画,hard,,ライナーは全身が硬質化した装甲で覆われた「鎧の巨人」の継承者です。高い防御力と突進力を持ちます。|超大型巨人はベルトルトが持っていた能力で、後にアルミンが継承します。60mの巨体が特徴です。|獣の巨人はジーク・イェーガー（エレンの異母兄）が持つ能力です。投擲能力に優れています。|顎の巨人はユミルやポルコ、ファルコが継承した能力で、小型で素早く顎の力が強いのが特徴です。
「DEATH NOTE」で死神リュークが人間界に落としたデスノートは何冊目でしょうか？,2冊目,1冊目,3冊目,4冊目,1,漫画,hard,,リュークは退屈しのぎに自分が持っていた2冊目のデスノートを人間界に落としました。それを拾ったのが夜神月です。|1冊目のデスノートはリュークが死神界で使用していたもので、落としたのは2冊目です。|死神は基本的に2冊までしかデスノートを持てません。3冊目は存在しません。|4冊目という設定もありません。リュークが落としたのは自分の2冊目のノートです。
「キングダム」で秦国の六大将軍に数えられる王騎将軍の愛馬の名前はどれでしょうか？,松風,赤兎馬,絶影,的盧,1,漫画,hard,,王騎将軍の愛馬は「松風」という名前で、主人と共に数々の戦場を駆け抜けました。後に信に託されます。|赤兎馬は三国志の呂布や関羽が乗った名馬として有名ですが、キングダムの王騎の馬ではありません。|絶影も三国志に登場する名馬（曹操の愛馬）ですが、王騎の馬は松風です。|的盧も三国志の劉備の馬として知られますが、王騎の愛馬は松風です。
「銀魂」で真選組局長・近藤勲が片思いしている女性は誰でしょうか？,お妙,さっちゃん,月詠,神楽,1,漫画,hard,,近藤は新八の姉・志村妙（お妙さん）に一途な恋心を抱いています。ストーカー行為で毎回撃退されますが諦めません。|さっちゃんは始末屋で、銀時に片思いしています。近藤の恋の相手ではありません。|月詠は吉原の自警団「百華」の頭領で、銀時に好意を寄せています。近藤の相手ではありません。|神楽は万事屋の一員で、まだ若い少女です。近藤が恋しているのはお妙さんです。
「こちら葛飾区亀有公園前派出所」で両津勘吉の趣味として最も有名なのはどれでしょうか？,金儲け,読書,料理,釣り,1,漫画,hard,,両津の最大の趣味は金儲けで、様々な副業や商売を思いつきますが、大抵失敗して借金を作ります。|読書は両津の趣味ではありません。むしろ勉強嫌いで知られています。|料理も両津の特技ではありません。食べることは好きですが作るのは得意ではありません。|釣りを楽しむ場面もありますが、最も有名な趣味は金儲けです。
「宇宙兄弟」で弟・南波日々人が月面で最初に発見した謎の物体は何でしょうか？,UFOの痕跡のような跡,宇宙人の足跡,古代文明の遺跡,隕石のかけら,1,漫画,hard,,日々人は月面でUFOの痕跡のような謎の跡を発見し、それが物語の重要な伏線となります。宇宙の謎に迫る展開です。|宇宙人の足跡という直接的な証拠ではなく、UFO痕跡のような跡でした。|古代文明の遺跡という設定はありません。発見したのは謎の痕跡です。|隕石のかけらではなく、人工物のような痕跡を発見しました。
